學年度,學校代碼,學校名稱,縣市名稱,體系別,在校生總數,區域,設立別,休學人數,在學人數_S,休學率,退學人數,退學率,專任教師數,生師比,公私立
109,221,國立臺南護理專科學校,臺南市,2 技職,1917,南部,公立,,,,,,92.0,20.8,公立
109,222,國立臺東專科學校,臺東縣,2 技職,1041,東部,公立,,,,,,67.0,15.5,公立
109,1001,東海大學,臺中市,1 一般,15710,中部,私立,,,,,,561.0,28.0,私立
109,1002,輔仁大學,新北市,2 技職,54,北部,私立,,,,,,728.0,0.1,私立
109,1003,東吳大學,臺北市,1 一般,15374,北部,私立,,,,,,431.0,35.7,私立
109,1004,中原大學,桃園市,1 一般,16405,北部,私立,,,,,,496.0,33.1,私立
109,1005,淡江大學,新北市,1 一般,24209,北部,,,,,,,,,未知
109,1006,中國文化大學,臺北市,2 技職,162,北部,私立,,,,,,704.0,0.2,私立
109,1007,逢甲大學,臺中市,1 一般,21059,中部,私立,,,,,,664.0,31.7,私立
109,1008,靜宜大學,臺中市,1 一般,12018,中部,私立,,,,,,383.0,31.4,私立
109,1009,長庚大學,桃園市,1 一般,6811,北部,私立,,,,,,571.0,11.9,私立
109,1010,元智大學,桃園市,1 一般,8739,北部,私立,,,,,,301.0,29.0,私立
109,1011,中華大學,新竹市,2 技職,193,北部,,,,,,,,,未知
109,1012,大葉大學,彰化縣,2 技職,81,中部,私立,,,,,,292.0,0.3,私立
109,1013,華梵大學,新北市,1 一般,1165,北部,,,,,,,,,未知
109,1014,義守大學,高雄市,2 技職,154,南部,私立,,,,,,540.0,0.3,私立
109,1015,世新大學,臺北市,1 一般,11223,北部,私立,,,,,,346.0,32.4,私立
109,1016,銘傳大學,臺北市,1 一般,18614,北部,私立,,,,,,568.0,32.8,私立
109,1017,實踐大學,臺北市,2 技職,123,北部,私立,,,,,,339.0,0.4,私立
109,1018,朝陽科技大學,臺中市,2 技職,15050,中部,私立,,,,,,394.0,38.2,私立
109,1019,高雄醫學大學,高雄市,2 技職,12,南部,私立,,,,,,544.0,0.0,私立
109,1020,南華大學,嘉義縣,1 一般,5701,南部,私立,,,,,,192.0,29.7,私立
109,1021,真理大學,新北市,1 一般,5255,北部,私立,,,,,,233.0,22.6,私立
109,1022,大同大學,臺北市,1 一般,4012,北部,私立,,,,,,143.0,28.1,私立
109,1023,南臺科技大學,臺南市,2 技職,18024,南部,,,,,,,,,未知
109,1024,崑山科技大學,臺南市,2 技職,10537,南部,私立,,,,,,313.0,33.7,私立
109,1025,嘉南藥理大學,臺南市,2 技職,12234,南部,,,,,,,,,未知
109,1026,樹德科技大學,高雄市,2 技職,10496,南部,私立,,,,,,267.0,39.3,私立
109,1027,慈濟大學,花蓮縣,1 一般,3383,東部,,,,,,,,,未知
109,1028,臺北醫學大學,臺北市,1 一般,5993,北部,私立,,,,,,669.0,9.0,私立
109,1029,中山醫學大學,臺中市,2 技職,124,中部,私立,,,,,,404.0,0.3,私立
109,1030,龍華科技大學,桃園市,2 技職,11606,北部,私立,,,,,,265.0,43.8,私立
109,1031,輔英科技大學,高雄市,2 技職,9791,南部,私立,,,,,,323.0,30.3,私立
109,1032,明新科技大學,新竹縣,2 技職,11886,北部,,,,,,,,,未知
109,1033,長榮大學,臺南市,1 一般,8248,南部,私立,,,,,,323.0,25.5,私立
109,1034,弘光科技大學,臺中市,2 技職,12700,中部,私立,,,,,,343.0,37.0,私立
109,1035,中國醫藥大學,臺中市,2 技職,1,中部,私立,,,,,,521.0,0.0,私立
109,1036,健行科技大學,桃園市,2 技職,11279,北部,,,,,,,,,未知
109,1037,正修科技大學,高雄市,2 技職,17473,南部,,,,,,,,,未知
109,1038,萬能科技大學,桃園市,2 技職,9691,北部,,,,,,,,,未知
109,1039,玄奘大學,新竹市,1 一般,2408,北部,私立,,,,,,112.0,21.5,私立
109,1040,建國科技大學,彰化縣,2 技職,6620,中部,私立,,,,,,223.0,29.7,私立
109,1041,明志科技大學,新北市,2 技職,4492,北部,私立,,,,,,199.0,22.6,私立
109,1042,高苑科技大學,高雄市,2 技職,3510,南部,,,,,,,,,未知
109,1043,大仁科技大學,屏東縣,2 技職,5389,南部,私立,,,,,,180.0,29.9,私立
109,1044,聖約翰科技大學,新北市,2 技職,2391,北部,私立,,,,,,133.0,18.0,私立
109,1045,嶺東科技大學,臺中市,2 技職,10510,中部,私立,,,,,,274.0,38.4,私立
109,1046,中國科技大學,臺北市,2 技職,8815,北部,私立,,,,,,248.0,35.5,私立
109,1047,中臺科技大學,臺中市,2 技職,8170,中部,私立,,,,,,242.0,33.8,私立
109,1048,亞洲大學,臺中市,1 一般,11421,中部,私立,,,,,,394.0,29.0,私立
109,1049,開南大學,桃園市,1 一般,5587,北部,私立,,,,,,204.0,27.4,私立
